,Award?,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
43,1,0.0,619393,0,3,1,1,15008,14,0,0,7819
44,0,0.0,121260,0,3,1,1,18493,18,0,0,7808
45,1,0.0,288865,967,1,1,1,23600,14,2000,4,6884
46,0,2.0,92336,0,2,1,1,11214,6,0,0,6884
47,1,2.0,36924,0,1,1,1,5900,6,300,2,6879
48,1,2.0,70312,0,3,1,1,34678,24,500,1,6875
49,0,2.0,17051,0,1,1,1,1150,4,1150,4,6868
50,0,2.0,108137,0,1,1,1,6368,5,6368,5,6844
51,0,0.0,1300,0,1,1,1,370,1,0,0,6868
52,1,0.0,118531,0,4,1,1,44577,38,0,0,6868
53,1,0.0,121395,0,1,1,1,4970,8,650,2,6889
54,0,0.0,38348,0,1,1,1,0,0,0,0,6861
55,0,0.0,14448,0,1,1,1,1625,6,0,0,6856
56,0,0.0,75971,0,4,1,1,34339,14,0,0,6869
57,1,0.0,36298,0,1,1,1,3100,5,600,3,6865
58,0,6.0,38077,0,3,1,1,34024,8,0,0,6837
59,1,3.0,95118,0,3,1,1,23188,23,2200,7,6865
60,0,0.0,134457,0,3,1,1,15588,14,0,0,6861
61,0,0.0,19918,0,1,1,1,17601,11,0,0,6863
62,0,3.0,10120,0,1,1,1,0,0,0,0,6864
63,0,0.0,362642,0,1,1,1,28079,8,0,0,6835
64,0,0.0,80250,0,1,1,1,895,2,0,0,6833
65,1,0.0,53914,0,3,1,1,33767,45,5550,29,6826
66,0,3.0,9375,0,1,1,1,1750,7,0,0,6826
67,0,3.0,83237,0,4,1,1,35287,18,0,0,6837
68,1,1.0,230715,0,3,1,1,24047,12,0,0,6826
69,1,2.0,47457,0,3,1,1,12621,16,0,0,7766
70,0,2.0,84409,5031,2,1,1,15436,16,1150,4,7766
71,0,1.0,252386,0,4,1,1,39787,13,0,0,7787
72,0,3.0,550367,0,3,1,1,12500,13,50,1,7801
73,0,3.0,12646,0,1,1,1,631,4,631,4,7787
74,0,3.0,123867,0,3,1,1,25308,17,0,0,7759
75,0,3.0,129871,0,3,1,1,15776,22,0,0,7752
76,0,3.0,109380,0,1,1,1,7537,16,0,0,7749
77,0,3.0,111157,0,4,1,1,32883,19,0,0,7771
78,1,6.0,49238,0,4,1,1,38037,18,0,0,7801
79,1,3.0,38896,0,5,1,1,76988,16,556,1,7771
80,1,6.0,4340,0,1,1,1,32685,5,0,0,7733
81,0,6.0,88443,0,1,1,1,1200,3,1200,3,6837
82,0,3.0,8454,0,1,1,1,498,9,0,0,6821
83,0,1.0,61990,0,1,1,1,1625,6,0,0,6833
84,0,1.0,24093,0,1,1,1,1750,7,0,0,6819
85,1,1.0,35418,0,5,1,1,58557,18,900,3,6813
86,1,1.0,40284,0,1,1,1,7719,5,0,0,6827
87,0,1.0,609477,0,3,1,1,21422,22,1200,8,6820
88,0,6.0,62553,0,2,1,1,7672,16,700,1,6819
89,1,3.0,48433,0,1,1,1,3500,4,500,1,6807
90,1,6.0,20508,0,1,1,1,22250,8,1250,5,6794
91,0,3.0,2000,0,1,1,1,2000,4,2000,4,6809
92,1,6.0,78629,0,4,1,1,36679,25,0,0,6817
93,1,3.0,143566,0,1,1,1,5000,5,1500,3,6785
94,1,6.0,185549,0,5,1,1,110859,39,2950,16,6778
95,0,6.0,16796,0,1,1,1,2875,16,0,0,6773
96,0,6.0,57346,0,1,1,1,5560,23,0,0,6766
97,0,6.0,102062,0,4,1,1,44247,16,0,0,6758
98,0,1.0,22324,0,1,1,1,1375,4,0,0,6753
99,1,1.0,64824,0,3,1,1,20184,13,0,0,6770
100,1,,25076,1182,5,1,1,57203,14,0,0,6750
101,1,,8053,0,1,1,1,0,0,0,0,6750
102,0,,35119,0,1,1,1,0,0,0,0,6749
103,1,,28667,0,1,1,1,3861,7,2050,5,6749
104,0,,34327,0,1,1,1,0,0,0,0,6745
105,1,,3734,0,5,1,1,61096,18,150,2,6760
106,1,,96627,1182,1,1,3,49059,26,2300,9,6738
107,1,,43498,0,1,1,1,0,0,0,0,6759
108,1,,84674,0,4,1,1,46335,14,50,1,6738
109,1,,15098,0,4,1,1,32917,26,550,3,6737
110,0,,181019,0,3,1,1,18415,15,0,0,7714
111,1,,298911,0,1,1,1,8550,11,2550,8,7714
112,0,,124198,0,5,1,1,66330,23,4833,10,7710
113,1,,56906,0,1,1,1,2015,13,0,0,7707
114,1,,295638,0,1,1,1,5422,20,818,2,7700
115,0,,67018,0,3,1,1,23260,25,0,0,7698
116,0,,143967,0,2,1,1,7346,11,0,0,7689
117,1,,969559,0,1,1,1,2500,3,1000,2,7718
118,1,,122705,0,3,1,1,24222,15,0,0,7682
119,1,,16583,0,1,1,1,2625,7,0,0,7682
120,0,,77540,0,1,1,1,1000,1,0,0,7683
121,1,,205126,0,5,1,1,126630,45,2250,10,7668
122,1,,81974,0,4,1,1,37266,18,1050,3,7661
123,1,,47258,0,3,1,1,24768,19,0,0,7659
124,0,,77699,0,4,1,1,42775,13,0,0,7654
125,1,,133954,500,4,1,1,37670,18,1500,3,7654
126,1,,602064,0,5,1,1,194753,26,2250,10,7652
127,1,,213150,0,4,1,1,56308,41,5200,14,7645
128,1,,48333,0,2,1,1,10123,14,0,0,6737
129,1,,142175,0,4,1,1,37461,22,0,0,6732
130,1,,17469,0,1,1,1,0,0,0,0,6730
131,1,,19823,0,1,1,1,1095,3,335,1,6730
132,1,,145074,0,1,1,1,8000,4,0,0,6746
133,1,,101101,0,1,1,1,10850,11,1850,6,6725
134,1,,125948,0,3,1,1,15155,15,0,0,6761
135,1,,259484,1776,1,1,1,19172,26,7172,23,6723
136,0,,129298,0,4,1,1,29099,15,0,0,6722
137,1,,103302,0,4,1,1,53552,22,700,3,6718
138,1,,160447,0,1,1,1,8578,25,0,0,6716
139,0,,15472,0,1,1,1,3500,14,0,0,6715
140,0,,39628,0,1,1,1,0,0,0,0,6711
141,0,,6112,0,1,1,1,0,0,0,0,6709
142,0,,31769,0,1,1,1,450,2,450,2,6707
143,0,,126787,0,4,1,1,35021,17,0,0,6701
144,0,,41547,0,3,1,1,16857,17,0,0,6697
145,1,,100640,0,1,1,1,7600,8,1600,5,6708
146,0,,18707,0,1,1,1,100,1,0,0,6693
147,1,,50593,0,5,1,1,58208,17,1500,2,6689
148,0,,84631,0,3,1,1,20415,17,0,0,6736
149,0,,24868,0,1,1,1,205,5,0,0,6689
150,1,,77097,0,4,1,1,42403,22,1718,4,6683
151,1,,930410,0,5,1,1,211284,18,2250,6,7640
152,0,,298121,0,5,1,1,60808,20,500,1,7640
153,0,,87474,0,1,1,1,4581,15,0,0,7634
154,1,,48707,0,4,1,1,37655,14,0,0,7631
155,0,,220081,0,4,1,1,52574,21,500,1,7626
156,0,,212976,0,3,1,1,19926,12,0,0,7624
157,1,,44182,0,3,1,1,12313,12,0,0,7619
158,1,,228829,0,5,1,1,59852,21,0,0,7612
159,0,,46823,0,1,1,1,5860,12,0,0,7613
160,0,,69110,0,3,1,1,18500,19,0,0,7598
161,1,,120700,0,5,1,1,55323,17,1500,1,7598
162,1,,152945,0,1,1,1,18604,6,3604,2,7598
163,1,,10302,0,4,1,1,30298,19,0,0,7591
164,1,,80331,0,3,1,1,15489,18,0,0,7634
165,0,,69882,0,1,1,1,180,6,0,0,7582
166,0,,95658,0,1,1,1,5269,18,0,0,7584
167,1,,402874,0,5,1,1,74800,15,0,0,7582
168,1,,370941,0,4,1,1,44615,16,0,0,7577
169,1,,21694,0,4,1,1,45230,20,700,2,7575
170,1,,71767,0,5,1,1,67335,13,0,0,7570
171,0,,35820,0,1,1,1,0,0,0,0,7575
172,1,,352508,0,3,1,1,23740,6,1000,2,7563
173,1,,149285,0,1,1,1,15656,13,3250,6,7561
174,0,,120941,0,4,1,1,42301,21,0,0,7588
175,1,,451673,0,4,1,1,43533,19,900,4,7575
176,1,,106961,0,1,1,1,7357,19,200,2,7572
177,1,,28086,1745,2,1,1,7368,12,0,0,7549
178,1,,60230,0,1,1,1,500,1,0,0,7544
179,1,,6663,0,1,1,1,1125,7,750,4,7575
180,0,,48145,0,1,1,1,10735,27,0,0,7540
181,1,,127807,0,3,1,1,17086,16,1500,3,7537
182,0,,32948,0,1,1,1,50,1,50,1,7569
183,1,,8933,0,2,1,1,8860,14,0,0,7533
184,0,,49885,0,3,1,1,23640,17,0,0,7533
185,0,,89999,0,3,1,1,11694,13,0,0,7530
186,1,,707079,0,4,1,1,57173,40,3450,12,7523
187,0,,211595,0,1,1,1,3250,8,0,0,7521
188,0,,410795,0,5,1,1,73679,31,0,0,7514
189,0,,72173,0,1,1,1,2954,13,232,1,7509
190,1,,123516,0,5,1,1,240544,31,500,2,7507
191,1,,143080,733,4,1,1,44373,38,3928,17,7575
192,1,,386061,0,5,1,1,107813,24,0,0,7500
193,0,,52738,2398,1,1,1,0,0,0,0,7498
194,1,,24523,0,1,1,1,100,1,0,0,7493
195,0,,134601,0,1,1,1,0,0,0,0,7493
196,1,,32742,0,5,1,1,61857,26,0,0,7488
197,0,,108341,0,3,1,1,19670,21,0,0,7488
198,1,,8669,0,1,3,1,11397,16,0,0,7486
199,1,,118940,0,4,1,1,36001,17,150,1,7484
200,1,,41385,0,4,1,1,26948,14,0,0,7481
201,1,,28621,0,2,1,1,13878,20,1400,10,7479
202,0,,16230,0,1,1,1,486,2,0,0,7477
203,1,,152881,0,5,1,1,79687,18,500,1,7474
204,0,,37348,0,1,1,1,0,0,0,0,7472
205,0,,51468,0,1,1,1,2278,9,0,0,7460
206,1,,95989,0,5,1,1,92159,30,1329,4,7518
207,1,,23184,1250,1,1,1,3694,12,1150,3,7467
208,1,,27381,0,3,1,1,18009,18,0,0,7524
209,0,,6854,0,1,1,1,0,0,0,0,7467
210,1,,201346,0,5,1,1,99612,34,600,4,7463
211,0,,31588,0,1,1,1,2947,8,0,0,7463
212,0,,204582,0,1,1,1,4671,14,0,0,7498
213,1,,8298,0,3,1,1,20087,15,0,0,7498
214,0,,10097,0,1,1,1,2700,1,2700,1,7498
215,0,,114356,0,4,1,1,27308,14,0,0,7456
216,0,,1344,0,1,1,1,1134,9,0,0,7498
217,0,,59797,0,1,1,1,7069,4,0,0,7444
218,1,,189053,0,3,1,1,24156,22,0,0,7439
219,0,,143481,0,4,1,1,45891,15,0,0,7437
220,1,,1302051,2706,5,1,1,90653,32,3050,7,7467
221,1,,229744,0,5,1,1,68754,35,550,2,7467
222,1,,75039,0,1,1,1,2750,10,250,1,7435
223,0,,20203,0,1,1,1,750,6,0,0,7467
224,0,,193976,0,3,1,1,10849,14,0,0,7416
225,0,,98224,0,2,1,1,5570,11,0,0,7467
226,1,,117329,0,1,2,1,6448,11,0,0,7416
227,1,,119239,0,4,1,1,36362,15,250,1,7467
228,0,,53715,0,2,1,1,7164,15,300,2,7416
229,0,,153747,0,5,1,1,58689,15,0,0,7409
230,1,,133309,0,3,1,1,23987,13,0,0,7415
231,1,,81380,0,5,1,1,56524,22,0,0,7404
232,0,,22074,0,1,1,1,6039,15,0,0,7404
233,1,,24051,0,2,1,1,8764,13,0,0,7395
234,1,,11449,0,2,1,1,9057,13,0,0,7397
235,1,,182317,0,2,1,1,19489,17,273,1,7397
236,0,,46184,0,1,1,1,3125,12,500,1,7388
237,1,,285116,0,1,1,1,8471,18,500,1,7406
238,1,,30962,0,5,1,1,97683,37,6400,18,7360
239,0,,15525,0,1,1,1,3853,6,0,0,7406
240,0,,163530,0,5,1,1,88987,25,0,0,7406
241,1,,2075,0,2,1,1,5002,14,0,0,7374
242,0,,227881,0,4,1,1,41186,13,0,0,7369
243,0,,118934,0,5,1,1,66222,37,2250,17,7354
244,1,,468175,0,5,1,1,141615,22,0,0,7348
245,1,,12526,0,4,1,1,56076,19,3850,11,7375
246,0,,176090,0,1,1,1,5300,9,2200,6,7344
247,1,,15221,0,1,1,1,4425,9,0,0,7361
248,1,,92875,0,5,1,1,60990,14,0,0,7344
249,0,,88702,0,2,1,1,9620,13,50,1,7406
250,0,,62882,0,1,1,1,1925,8,0,0,7375
251,0,,30015,0,1,1,1,5875,32,0,0,7341
252,0,,87293,0,3,1,1,21584,17,1050,2,7406
253,1,,45225,0,3,1,1,14711,15,0,0,7339
254,1,,96098,0,1,1,1,12500,4,0,0,7339
255,0,,236274,0,5,1,1,61515,12,0,0,7375
256,0,,423540,0,1,1,1,8534,14,2100,9,7375
257,1,,25279,0,2,1,1,14938,26,0,0,7327
258,0,,198137,0,1,1,1,6303,6,500,1,7323
259,1,,402312,0,5,1,1,77122,18,250,3,7375
260,0,,149733,0,1,1,1,605,3,500,1,7323
261,0,,70730,0,1,1,1,1319,12,0,0,7316
262,0,,164613,0,2,1,1,11095,13,0,0,7375
263,0,,47557,0,2,1,1,10267,18,200,3,7345
264,1,,35065,0,1,1,1,5400,5,1400,3,7311
265,1,,105769,0,3,1,1,23097,16,0,0,7345
266,0,,35900,0,1,1,1,0,0,0,0,7304
267,0,,43088,0,1,1,1,4000,1,0,0,7345
268,1,,58703,0,4,1,1,46473,34,950,4,7296
269,1,,70354,0,5,1,1,120907,22,0,0,7290
270,1,,145726,0,3,1,1,19019,15,0,0,7292
271,1,,121639,0,5,1,1,67286,7,0,0,7288
272,1,,70676,0,5,1,1,74993,15,0,0,7288
273,0,,18263,0,1,1,1,2100,4,1000,2,7285
274,0,,51250,0,1,1,1,0,0,0,0,7283
275,1,,1704838,0,1,1,1,17108,32,4823,23,7283
276,0,,12895,0,1,1,1,0,0,0,0,7277
277,1,,120073,0,3,1,1,12423,29,0,0,7276
278,0,,2003,0,1,1,1,980,2,0,0,7274
279,1,,22652,0,5,1,1,57642,14,0,0,7271
280,0,,168515,0,1,1,1,4600,4,0,0,7269
281,1,,44873,0,4,1,1,38740,18,850,2,7267
282,0,,190542,1745,1,1,1,8487,9,0,0,7267
283,1,,156230,0,1,1,1,5300,8,1300,5,7260
284,1,,79211,0,4,1,1,36776,14,0,0,7260
285,1,,98006,0,4,1,1,46349,20,2309,3,7332
286,1,,33982,0,5,1,1,68320,17,0,0,7255
287,0,,62998,0,2,1,1,11326,24,0,0,7253
288,1,,137908,0,5,1,1,57713,19,0,0,7250
289,0,,45586,0,4,1,1,37459,15,0,0,7246
290,1,,568174,0,5,1,1,67121,16,1000,2,7243
291,1,,145993,0,5,1,1,95082,17,500,1,7229
292,1,,294881,0,5,1,1,84800,20,0,0,7279
293,0,,12195,0,1,1,1,3875,17,0,0,7229
294,0,,16622,0,1,1,1,0,0,0,0,7229
295,0,,141813,0,4,1,1,39743,14,0,0,7254
296,1,,58139,500,4,1,1,38408,16,150,1,7227
297,0,,238868,0,3,1,1,20521,16,0,0,7220
298,1,,149286,0,4,1,1,42141,30,2400,13,7222
299,0,,35945,0,1,1,1,0,0,0,0,7220
300,1,,28218,0,1,1,1,750,4,750,4,7232
301,0,,7061,0,1,1,1,7100,12,0,0,7218
302,1,,217846,0,4,1,1,49198,20,0,0,7215
303,0,,364387,0,4,1,1,28200,27,0,0,7213
304,0,,125465,0,3,1,1,14750,9,0,0,7206
305,1,,94222,0,4,1,1,52081,24,0,0,7201
306,0,,123370,0,1,1,1,7478,16,0,0,7197
307,1,,383030,2998,1,1,1,8001,25,3226,15,7326
308,0,,112969,0,2,1,1,7572,7,0,0,7192
309,0,,46430,0,1,1,1,2100,4,500,1,7194
310,0,,179433,0,4,1,1,30476,15,0,0,7187
311,1,,20746,0,4,1,1,37534,17,0,0,7185
312,1,,61455,0,4,1,1,28765,17,0,0,7183
313,1,,714717,0,5,1,1,119162,20,1750,4,7183
314,1,,179559,0,3,1,1,17819,12,1000,2,7173
315,1,,119977,2556,1,1,1,9275,16,1400,4,7226
316,0,,16928,0,1,1,1,1000,1,0,0,7173
317,0,,65316,0,1,1,1,3917,10,0,0,7254
318,1,,766419,0,1,1,1,11398,3,398,1,7162
319,1,,52060,0,1,1,1,6500,3,0,0,7162
320,0,,84700,0,3,1,1,13544,17,0,0,7162
321,1,,205523,0,3,1,1,32404,20,1000,2,7159
322,1,,20457,0,4,1,1,51399,16,0,0,7193
323,1,,278727,0,1,1,1,21666,19,9166,16,7155
324,0,,50325,0,3,1,1,11930,14,0,0,7155
325,1,,455228,0,1,1,1,258,2,258,2,7141
326,0,,73849,0,2,1,1,11793,21,0,0,7250
327,1,,388455,0,5,1,1,114329,26,6078,8,7164
328,1,,138999,0,5,1,1,63738,29,600,4,7153
329,0,,65573,0,1,1,1,3875,23,0,0,7130
330,1,,172288,0,5,1,1,66879,10,0,0,7130
331,0,,47958,0,1,1,1,0,0,0,0,7130
332,0,,133002,0,3,1,1,15672,21,150,1,7117
333,1,,42363,0,1,1,1,0,0,0,0,7120
334,1,,133370,0,4,1,1,44299,18,0,0,7101
335,1,,278457,6727,4,1,1,57313,27,1000,2,7101
336,0,,105166,1374,4,1,1,37663,22,0,0,7120
337,0,,34956,0,1,1,1,0,0,0,0,7172
338,0,,46963,0,1,1,1,1500,5,0,0,7117
339,0,,55788,0,3,1,1,24831,12,0,0,7314
340,1,,174910,0,4,1,1,63960,20,200,1,7110
341,1,,13812,0,2,1,1,15149,39,0,0,7110
342,0,,38718,0,1,1,1,0,0,0,0,7314
343,0,,112501,0,1,1,2,19140,11,0,0,7101
344,0,,54005,0,1,1,1,1500,5,0,0,7099
345,1,,66863,0,4,1,1,36532,9,0,0,7099
346,0,,93045,0,3,1,1,17636,15,0,0,7092
347,0,,197328,0,5,1,1,60447,12,0,0,7092
348,0,,151301,0,4,1,1,37772,14,0,0,7092
349,1,,87938,0,1,1,1,11268,2,0,0,7085
350,0,,15283,0,1,1,1,1250,3,0,0,7132
351,0,,105423,0,3,1,1,20802,14,0,0,7078
352,0,,312512,0,1,1,1,100,1,100,1,7078
353,1,,13680,0,1,1,1,0,0,0,0,7073
354,0,,41279,0,3,1,1,14462,20,1650,6,7064
355,0,,25313,0,2,1,1,7491,13,0,0,7064
356,0,,148691,0,1,1,1,3000,3,1000,2,7064
357,0,,224081,0,4,1,1,40108,15,150,2,7059
358,0,,51088,0,1,1,1,0,0,0,0,7057
359,0,,95305,0,1,1,1,3189,13,0,0,7054
360,1,,22080,0,1,1,1,12200,47,1950,9,7050
361,0,,11660,0,1,1,1,140,1,0,0,7050
362,1,,222227,0,4,1,1,38127,14,500,1,7047
363,0,,16200,0,1,1,1,160,1,0,0,7043
364,0,,38227,0,2,1,1,8612,13,0,0,7036
365,1,,80214,0,1,1,1,500,1,500,1,7029
366,1,,53985,0,1,1,1,1000,1,0,0,7029
367,0,,14414,0,1,1,1,0,0,0,0,7024
368,0,,44457,0,1,1,1,225,3,0,0,7026
369,1,,161813,0,5,1,1,126941,20,0,0,7026
370,1,,138020,0,1,1,1,6568,15,0,0,7024
371,0,,107707,0,3,1,1,19407,25,2211,12,7024
372,1,,95656,0,5,1,1,62666,27,0,0,7019
373,0,,149678,0,1,1,1,0,0,0,0,7022
374,1,,15113,0,2,1,1,10574,19,0,0,7017
375,1,,231,0,1,1,1,29900,24,5300,15,7015
376,0,,22380,0,1,1,1,300,2,200,1,7010
377,1,,146263,0,3,1,1,20853,21,350,1,7001
378,0,,24598,0,1,1,1,0,0,0,0,7040
379,0,,76150,0,4,1,1,36907,17,0,0,6998
380,1,,377252,0,5,1,1,230629,30,6393,13,6996
381,0,,167670,0,1,3,1,15907,13,0,0,6994
382,0,,86853,0,4,1,1,42293,21,500,1,6980
383,0,,479989,0,4,1,1,66516,26,1600,6,6980
384,1,,28193,0,5,1,4,103456,32,0,0,6980
385,0,,67086,0,3,1,1,18157,16,0,0,6974
386,0,,35969,0,2,1,1,11665,21,0,0,6977
387,1,,53790,0,4,1,1,28717,19,0,0,8296
388,0,,198859,0,3,1,1,17855,14,500,1,8296
389,0,,91939,0,1,1,1,1244,8,0,0,8296
390,0,,88449,0,2,1,1,11402,18,1450,5,8296
391,1,,54842,0,3,1,1,20792,15,0,0,8296
392,1,,11189,0,1,2,1,9044,20,0,0,8296
393,0,,16999,0,1,1,1,140,1,0,0,8296
394,0,,114713,0,1,1,1,7142,18,0,0,8296
395,0,,1612,0,1,1,1,955,9,0,0,8296
396,0,,97763,0,1,1,1,2000,9,0,0,8296
397,0,,15129,0,1,1,1,0,0,0,0,8296
398,0,,15669,0,1,1,1,1205,4,0,0,8296
399,0,,26720,0,1,1,1,913,3,0,0,8296
400,0,,205292,0,2,1,1,5471,13,0,0,8296
401,0,,56635,0,1,1,1,1024,8,359,2,8296
402,0,,127297,0,2,1,1,8510,12,0,0,8296
403,0,,8927,0,1,1,1,0,0,0,0,8296
404,1,,507506,1952,5,1,1,102279,32,4485,13,8296
405,1,,145723,0,5,1,1,59858,16,0,0,8296
406,0,,6458,0,1,1,1,0,0,0,0,8296
407,1,,267640,0,1,1,1,6000,3,0,0,8296
408,0,,5581,0,1,1,1,0,0,0,0,8296
409,0,,10732,0,1,1,1,1296,6,0,0,8296
410,1,,620498,0,5,1,1,25395,53,1750,14,8296
411,0,,68963,0,4,1,1,37723,15,0,0,8296
412,1,,109640,0,4,1,1,66983,38,5500,17,8296
413,1,,225802,0,5,1,1,74340,16,200,2,8296
414,0,,58452,0,1,1,1,0,0,0,0,8296
415,1,,109087,0,2,1,1,10462,16,0,0,8296
416,1,,68286,0,3,1,1,22831,13,0,0,8296
417,1,,68464,0,1,1,1,240,3,0,0,8296
418,0,,131960,2000,3,1,1,16081,8,0,0,8296
419,0,,199956,1178,1,1,1,0,0,0,0,8296
420,1,,529886,7210,1,1,1,23866,26,7741,15,8296
421,0,,23529,0,1,1,1,500,1,0,0,8296
422,0,,190295,0,4,1,1,3501,15,0,0,8296
423,1,,21083,0,5,1,1,129330,16,1000,2,8296
424,1,,117860,0,5,1,1,62758,15,0,0,8296
425,1,,118844,0,4,1,1,28731,17,400,2,8289
426,0,,60493,0,1,1,1,9000,1,0,0,8289
427,1,,491987,0,5,1,1,68007,23,700,2,8289
428,0,,87692,0,1,1,1,2310,6,500,1,8289
429,0,,78028,0,4,1,1,36269,24,0,0,8289
430,1,,251286,0,1,1,1,0,0,0,0,8289
431,1,,17575,0,1,1,1,0,0,0,0,8289
432,1,,50431,0,1,1,1,1000,1,0,0,8289
433,0,,153597,0,5,1,1,56567,18,0,0,8289
434,1,,74579,0,1,1,1,4600,11,600,8,8289
435,0,,2494,0,1,1,1,0,0,0,0,8289
436,0,,96031,0,4,1,1,46588,21,0,0,8289
437,1,,353678,0,4,1,1,141230,28,1450,5,8289
438,1,,50052,0,4,1,1,49383,13,0,0,8289
439,0,,13381,0,1,1,1,1000,8,0,0,8289
440,0,,25123,0,1,1,1,2030,6,0,0,8289
441,1,,132555,0,3,1,1,24775,31,350,1,8289
442,0,,14528,0,1,1,1,6000,7,3000,6,8289
443,0,,24038,0,2,1,1,6290,14,0,0,8289
444,1,,192104,0,3,1,1,39010,53,1750,8,8289
445,1,,106773,0,1,1,1,12900,10,1400,8,8289
446,1,,229397,0,3,1,1,22873,13,0,0,8289
447,0,,14732,0,1,1,1,100,1,0,0,8289
448,0,,383129,0,3,1,1,23608,16,500,1,8289
449,0,,11431,0,1,1,1,1759,4,759,3,8289
450,1,,175461,0,4,1,1,40997,14,0,0,8289
451,0,,52953,0,1,1,1,500,1,0,0,8289
452,0,,182291,0,3,1,1,24155,22,0,0,8289
453,1,,198317,0,5,1,1,61714,16,0,0,8289
454,0,,49053,0,1,1,1,6498,18,950,5,8289
455,0,,22772,0,1,1,1,0,0,0,0,8289
456,1,,34170,0,3,1,1,15476,20,150,1,8289
457,0,,158483,0,2,1,1,9018,11,0,0,8289
458,1,,43285,0,4,1,1,28613,14,0,0,8252
459,0,,52980,0,3,1,1,17078,14,0,0,8237
460,0,,74342,0,1,1,1,4389,12,0,0,8228
461,1,,139849,0,3,1,1,19946,15,0,0,8228
462,1,,26080,0,2,1,1,9872,13,0,0,8228
463,0,,29469,0,1,1,1,2522,4,0,0,8228
464,0,,189252,0,1,1,1,2991,15,0,0,8228
465,1,,382546,0,5,1,1,136619,34,3000,6,8228
466,1,,1113394,2015,5,1,1,60883,26,2600,9,8228
467,1,,459681,0,5,1,1,95531,17,0,0,8228
468,0,,83590,0,1,1,1,3708,22,0,0,8228
469,1,,82528,0,1,1,1,2100,5,600,4,8228
470,0,,5600,0,1,1,1,125,1,0,0,8228
471,1,,743745,2066,1,1,1,4100,20,2500,18,8228
472,1,,43954,0,5,1,1,63463,13,250,1,8228
473,0,,52005,0,3,1,1,11870,15,100,1,8228
474,0,,45494,0,1,1,1,5021,16,600,2,8228
475,1,,171509,0,3,1,1,40090,55,6381,23,8151
476,0,,235947,0,1,1,1,3982,16,0,0,8145
477,0,,153108,0,4,1,1,25802,14,500,1,8137
478,1,,260261,0,4,1,1,33047,21,0,0,8146
479,1,,80223,0,3,1,1,21248,26,2050,7,8121
480,0,,38716,0,2,1,1,8253,21,0,0,8114
481,0,,1125076,0,3,1,1,23046,14,0,0,8107
